,title
221,Immortal Beloved
222,Heavyweights
223,The Hunted
224,I.Q.
225,Interview with the Vampire
226,Jefferson in Paris
227,The Jerky Boys
228,Junior
229,Just Cause
230,A Kid in King Arthur's Court
231,Kiss of Death
232,Star Wars
233,Little Women
234,A Little Princess
235,Ladybird Ladybird
236,L'Enfer
237,Like Water for Chocolate
238,Legends of the Fall
239,Major Payne
240,Little Odessa
241,Mi Vida Loca
242,Love Affair
243,Losing Isaiah
244,The Madness of King George
245,Mary Shelley's Frankenstein
246,Man of the House
247,Mixed Nuts
248,Milk Money
249,Miracle on 34th Street
250,Miami Rhapsody
251,My Family
252,Murder in the First
253,Nobody's Fool
254,Nell
255,New Jersey Drive
256,Beyond Bedlam
257,Nina Takes a Lover
258,Natural Born Killers
259,Only You
260,Once Were Warriors
261,Poison Ivy II: Lily
262,Outbreak
263,Leon: The Professional
264,The Perez Family
265,A Pyromaniac's Love Story
266,Pulp Fiction
267,Priest
268,Quiz Show
269,Picture Bride
270,Queen Margot
271,The Quick and the Dead
272,Roommates
273,Prêt-à-Porter
274,Three Colors: Red
275,Three Colors: Blue
276,Three Colors: White
277,"Red Firecracker, Green Firecracker"
278,Stuart Saves His Family
279,The Swan Princess
280,The Secret of Roan Inish
281,The Specialist
282,Stargate
283,The Santa Clause
284,The Shawshank Redemption
285,Shallow Grave
286,Suture
287,Strawberry and Chocolate
288,Swimming with Sharks
289,The Sum of Us
290,Senior Trip
291,To Live
292,Tank Girl
293,Tales from the Crypt: Demon Knight
294,Star Trek: Generations
295,Tales from the Hood
296,Tom & Viv
297,Village of the Damned
298,Tommy Boy
299,Vanya on 42nd Street
300,The Underneath
301,The Walking Dead
302,What's Eating Gilbert Grape
303,Virtuosity
304,While You Were Sleeping
305,The War
306,Double Happiness
307,Muriel's Wedding
308,The Baby-Sitters Club
309,Ace Ventura: Pet Detective
310,"The Adventures of Priscilla, Queen of the Desert"
311,Backbeat
312,Bitter Moon
313,Bullets Over Broadway
314,Clear and Present Danger
315,The Client
316,"Corrina, Corrina"
317,Crooklyn
318,The Crow
319,Cobb
320,The Flintstones
321,Forrest Gump
322,Four Weddings and a Funeral
323,Higher Learning
324,I Love Trouble
325,It Could Happen to You
326,The Jungle Book
327,"The Wonderful, Horrible Life of Leni Riefenstahl"
328,The Lion King
329,Little Buddha
330,New Nightmare
331,The Mask
332,Maverick
333,Mrs. Parker and the Vicious Circle
334,The Naked Gun 33⅓: The Final Insult
335,The Paper
336,Reality Bites
337,Red Rock West
338,Ri¢hie Ri¢h
339,Safe Passage
340,The River Wild
341,Speed
342,Speechless
343,Timecop
344,True Lies
345,When a Man Loves a Woman
346,Wolf
347,Wyatt Earp
348,Bad Company
349,A Low Down Dirty Shame
350,"Boys Life: Three Stories of Love, Lust, and Liberation"
351,Colonel Chabert
352,"Faster, Pussycat! Kill! Kill!"
353,Jason's Lyric
354,The Secret Adventures of Tom Thumb
355,Street Fighter
356,Mirage
357,Highlander: The Final Dimension
358,In the Mouth of Madness
359,8 Seconds
360,Above the Rim
361,Addams Family Values
362,The Age of Innocence
363,Airheads
364,The Air Up There
365,Another Stakeout
366,Bad Girls
367,Barcelona
368,Being Human
369,The Beverly Hillbillies
370,Beverly Hills Cop III
371,Black Beauty
372,Blink
373,Blown Away
374,Blue Chips
375,Blue Sky
376,Body Snatchers
377,Boxing Helena
378,A Bronx Tale
379,Cabin Boy
380,Carlito's Way
381,City Slickers II: The Legend of Curly's Gold
382,Clean Slate
383,Cliffhanger
384,Coneheads
385,Color of Night
386,Cops & Robbersons
387,The Cowboy Way
388,Dangerous Game
389,Dave
390,Dazed and Confused
391,Demolition Man
392,The Endless Summer 2
393,Even Cowgirls Get the Blues
394,Fatal Instinct
395,Farewell My Concubine
396,The Favor
397,Fearless
398,Fear of a Black Hat
399,With Honors
400,Flesh and Bone
401,Widows' Peak
402,For Love or Money
403,The Firm
404,Free Willy
405,Fresh
406,The Fugitive
407,Geronimo: An American Legend
408,The Getaway
409,Getting Even with Dad
410,Go Fish
411,Guilty as Sin
412,Hard Target
413,Heaven & Earth
414,Hot Shots! Part Deux
415,Live Nude Girls
416,The Englishman Who Went Up a Hill But Came Down a Mountain
417,The House of the Spirits
418,House Party 3
419,The Hudsucker Proxy
420,I'll Do Anything
421,In the Army Now
422,In the Line of Fire
423,In the Name of the Father
424,The Inkwell
425,What's Love Got to Do with It
426,Judgment Night
427,Jurassic Park
428,Kalifornia
429,Killing Zoe
430,King of the Hill
431,Lassie
432,Last Action Hero
433,Life With Mikey
434,Lightning Jack
435,M. Butterfly
436,Made in America
437,Malice
438,The Man without a Face
439,Manhattan Murder Mystery
440,Menace II Society
441,Executive Decision
442,In the Realm of the Senses
443,What Happened Was...
444,Much Ado About Nothing
445,Mr. Jones
446,Mr. Wonderful
447,Mrs. Doubtfire
448,Naked
449,The Next Karate Kid
450,No Escape
451,North
452,Orlando
453,A Perfect World
454,Philadelphia
455,The Piano
456,Poetic Justice
457,The Program
458,The Puppet Masters
459,Radioland Murders
460,The Ref
461,The Remains of the Day
462,Renaissance Man
463,Rising Sun
464,The Road to Wellville
465,RoboCop 3
466,Robin Hood: Men in Tights
467,Romeo Is Bleeding
468,Romper Stomper
469,Ruby in Paradise
470,Rudy
471,Savage Nights
472,Schindler's List
473,The Scout
474,Searching for Bobby Fischer
475,The Secret Garden
476,Serial Mom
477,The Shadow
478,Shadowlands
479,Short Cuts
480,A Simple Twist of Fate
481,Sirens
482,Six Degrees of Separation
483,Sleepless in Seattle
484,Sliver
485,Blade Runner
486,Son in Law
487,So I Married an Axe Murderer
488,Striking Distance
489,Super Mario Bros.
490,Surviving the Game
491,Terminal Velocity
492,Thirty Two Short Films About Glenn Gould
493,Threesome
494,The Nightmare Before Christmas
495,The Three Musketeers
496,Tombstone
497,Trial by Jury
498,True Romance
499,The War Room
500,The Pagemaster
501,"Paris, France"
502,Killer
503,Welcome to the Dollhouse
504,Germinal
505,Chasers
506,Cronos
507,Kika
508,Bhaji on the Beach
509,Little Big League
510,Wide Eyed and Legless
511,"Ciao, Professore!"
512,Spanking the Monkey
513,The Little Rascals
514,Andre
515,Princess Caraboo
516,The Celluloid Closet
517,Café au Lait
518,The Brady Bunch Movie
519,Home Alone
520,Ghost
521,Aladdin
522,Terminator 2: Judgment Day
523,Dances with Wolves
524,Batman
525,The Silence of the Lambs
526,Snow White and the Seven Dwarfs
527,Beauty and the Beast
528,Pinocchio
529,Pretty Woman
530,The Wild Bunch
531,Love and a .45
532,Bye Bye Love
533,One Fine Day
534,Candyman: Farewell to the Flesh
535,Fargo
536,Homeward Bound II: Lost in San Francisco
537,Heavy Metal
538,Hellraiser: Bloodline
539,The Pallbearer
540,Jane Eyre
541,Loaded
542,Bread and Chocolate
543,The Aristocats
544,The Flower of My Secret
545,Ed
546,Scream of Stone
547,My Favorite Season
548,A Thin Line Between Love and Hate
549,The Last Supper
550,Primal Fear
551,Carried Away
552,All Dogs Go to Heaven 2
553,Land and Freedom
554,Denise Calls Up
555,A Family Thing
556,Sgt. Bilko
557,Jack & Sarah
558,Girl 6
559,Diabolique
560,Courage Under Fire
561,Mission: Impossible
562,Moll Flanders
563,The Superwife
564,DragonHeart
565,Eddie
566,Purple Noon
567,James and the Giant Peach
568,Fear
569,Kids in the Hall: Brain Candy
570,Faithful
571,Underground
572,Bloodsport II
573,Pather Panchali
574,The World of Apu
575,Mystery Science Theater 3000: The Movie
576,Space Jam
577,Barbarella
578,Some Folks Call It a Sling Blade
579,The Run of the Country
580,Alphaville
581,Coup de Torchon
582,It's My Party
583,Country Life
584,Operation Dumbo Drop
585,The Promise
586,The Promise
587,The Promise
588,The Promise
589,The Promise
590,The Promise
591,The Promise
592,The Promise
593,Mrs. Winterbourne
594,Solo
595,The Substitute
596,True Crime
597,Butterfly Kiss
598,Feeling Minnesota
599,Delta of Venus
600,Angus
601,Faces
602,Boys
603,The Quest
604,Cosi
605,Mulholland Falls
606,The Truth About Cats & Dogs
607,Oliver & Company
608,Celtic Pride
609,Flipper
610,Dead Man
611,The Horseman on the Roof
612,The Visitors
613,Multiplicity
614,"The Haunted World of Edward D. Wood, Jr."
615,The Craft
616,The Great White Hype
617,Last Dance
618,Cold Comfort Farm
619,Heaven's Prisoners
620,The Rock
621,Cemetery Man
622,Twister
623,Barb Wire
624,Ghost in the Shell
625,Thinner
626,Spy Hard
627,A Close Shave
628,Force of Evil
629,The Stupids
630,The Arrival
631,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
632,A Month by the Lake
633,Gold Diggers: The Secret of Bear Mountain
634,Kim
635,Carmen Miranda: Bananas Is My Business
636,Ashes of Time
637,Maya Lin: A Strong Clear Vision
638,Stalingrad
639,The Phantom
640,Striptease
641,Heavy
642,Jack
643,I Shot Andy Warhol
644,The Grass Harp
645,Spirits of the Dead
646,Trainspotting
647,Til There Was You
648,Independence Day
649,Stealing Beauty
650,The Fan
651,The Hunchback of Notre Dame
652,The Cable Guy
653,Kingpin
654,Eraser
655,The Gate of Heavenly Peace
656,The Nutty Professor
657,My Life and Times With Antonin Artaud
658,Daylight
659,The Frighteners
660,Lone Star
661,Harriet the Spy
662,Phenomenon
663,Walking and Talking
664,She's the One
665,A Time to Kill
666,American Buffalo
667,Alaska
668,Fled
669,Kazaam
670,Larger Than Life
671,Two Deaths
672,A Very Brady Sequel
673,Death in the Garden
674,Kaspar Hauser
675,The Adventures of Pinocchio
676,Joe's Apartment
677,The First Wives Club
678,Stonewall
679,Ransom
680,High School High
681,Phat Beach
682,Foxfire
683,Chain Reaction
684,Matilda
685,Emma
686,The Crow: City of Angels
687,House Arrest
688,Eyes Without a Face
689,Bordello of Blood
690,The Story of Xinghua
691,The Day the Sun Turned Cold
692,Flirt
693,The Spitfire Grill
694,Escape from L.A.
695,Cyclo
696,Basquiat
697,Tin Cup
698,The Ballad of Narayama
699,The Godfather
700,Police Story 3: Supercop
701,Wife
702,Wife
703,Wife
704,Wife
705,Wife
706,Wife
707,Wife
708,Wife
709,Small Faces
710,Bound
711,Carpool
712,Kansas City
713,Gone Fishin'
714,Vive L'Amour
715,Nothing to Lose
716,Project S
717,The Relic
718,The Island of Dr. Moreau
719,First Kid
720,The Trigger Effect
721,Bogus
722,Bulletproof
723,The Land Before Time III: The Time of the Great Giving
724,1-900
725,Halloween: The Curse of Michael Myers
726,Twelfth Night
727,Mother Night
728,Wild Reeds
729,For Whom the Bell Tolls
730,The Philadelphia Story
731,Singin' in the Rain
732,An American in Paris
733,Funny Face
734,Breakfast at Tiffany's
735,Vertigo
736,Rear Window
737,It Happened One Night
738,Gaslight
739,The Gay Divorcee
740,North by Northwest
741,The Apartment
742,Some Like It Hot
743,Charade
744,Casablanca
745,The Maltese Falcon
746,My Fair Lady
747,Sabrina
748,Roman Holiday
749,The Little Princess
750,Meet Me in St. Louis
751,The Wizard of Oz
752,Gone with the Wind
753,My Favorite Year
754,Sunset Boulevard
755,Citizen Kane
756,2001: A Space Odyssey
757,All About Eve
758,The Women
759,Rebecca
760,Foreign Correspondent
761,Notorious
762,Spellbound
763,An Affair to Remember
764,To Catch a Thief
765,Father of the Bride
766,The Band Wagon
767,Ninotchka
768,Love in the Afternoon
769,Gigi
770,The Reluctant Debutante
771,The Adventures of Robin Hood
772,The Mark of Zorro
773,Laura
774,The Ghost and Mrs. Muir
775,Lost Horizon
776,Top Hat
777,To Be or Not to Be
778,My Man Godfrey
779,Giant
780,East of Eden
781,The Thin Man
782,His Girl Friday
783,Around the World in Eighty Days
784,It's a Wonderful Life
785,Mr. Smith Goes to Washington
786,Bringing Up Baby
787,Penny Serenade
788,The Scarlet Letter
789,Angel on My Shoulder
790,Little Lord Fauntleroy
791,They Made Me a Criminal
792,The Inspector General
793,Angel and the Badman
794,The 39 Steps
795,A Walk in the Sun
796,Night of the Living Dead
797,The African Queen
798,Beat the Devil
799,Cat on a Hot Tin Roof
800,The Last Time I Saw Paris
801,Meet John Doe
802,A Farewell to Arms
803,A Farewell to Arms
804,A Farewell to Arms
805,A Farewell to Arms
806,A Farewell to Arms
807,A Farewell to Arms
808,A Farewell to Arms
809,A Farewell to Arms
810,"Yes, Madam"
811,Dangerous Ground
812,Picnic
813,The Pompatus of Love
814,Fly Away Home
815,Bliss
816,Grace of My Heart
817,Maximum Risk
818,Michael Collins
819,The Rich Man's Wife
820,Big Night
821,Last Man Standing
822,Caught
823,Set It Off
824,2 Days in the Valley
825,Extreme Measures
826,The Glimmer Man
827,D3: The Mighty Ducks
828,The Chamber
829,The Apple Dumpling Gang
830,"Davy Crockett, King of the Wild Frontier"
831,Escape to Witch Mountain
832,The Love Bug
833,Herbie Rides Again
834,Old Yeller
835,The Parent Trap
836,Pollyanna
837,Homeward Bound: The Incredible Journey
838,The Shaggy Dog
839,Swiss Family Robinson
840,That Darn Cat!
841,"20,000 Leagues Under the Sea"
842,Cool Runnings
843,Angels in the Outfield
844,Cinderella
845,Winnie the Pooh and the Blustery Day
846,The Three Caballeros
847,The Sword in the Stone
848,So Dear to My Heart
849,Robin Hood: Prince of Thieves
850,Mary Poppins
851,Dumbo
852,Pete's Dragon
853,Bedknobs and Broomsticks
854,Alice in Wonderland
855,The Fox and the Hound
856,Freeway
857,The Sound of Music
858,Die Hard
859,The Lawnmower Man
860,The Secret Agent
861,Secrets & Lies
862,That Thing You Do!
863,To Gillian on Her 37th Birthday
864,Surviving Picasso
865,Beautiful Thing
866,The Long Kiss Goodnight
867,The Ghost and the Darkness
868,Looking for Richard
869,Trees Lounge
870,Normal Life
871,Get on the Bus
872,Shadow Conspiracy
873,Jude
874,Everyone Says I Love You
875,Romeo + Juliet
876,Swingers
877,Sleepers
878,Johns
879,Aladdin and the King of Thieves
880,Shall We Dance
881,A Damsel in Distress
882,Crossfire
883,"Murder, My Sweet"
884,Willy Wonka & the Chocolate Factory
885,The Innocents
886,Sleeper
887,Bananas
888,A Fish Called Wanda
889,Life of Brian
890,Victor/Victoria
891,The Candidate
892,The Great Race
893,Bonnie and Clyde
894,The Old Man and the Sea
895,Dial M for Murder
896,Madame Butterfly
897,Dirty Dancing
898,Reservoir Dogs
899,Platoon
900,Weekend at Bernie's
901,Basic Instinct
902,The Doors
903,The Crying Game
904,Glengarry Glen Ross
905,Sophie's Choice
906,E.T. the Extra-Terrestrial
907,A Christmas Carol
908,Days of Thunder
909,Top Gun
910,Rebel Without a Cause
911,A Streetcar Named Desire
912,Children of the Corn IV: The Gathering
913,Microcosmos
914,Palookaville
915,The Associate
916,The Funeral
917,The People vs. Larry Flynt
918,A Perfect Candidate
919,On Golden Pond
920,The Return of the Pink Panther
921,Drop Dead Fred
922,The Abyss
923,The Fog
924,Escape from New York
925,The Howling
926,Jean de Florette
927,Manon of the Spring
928,Private Benjamin
929,Monty Python and the Holy Grail
930,Hustler White
931,Snowriders
932,When We Were Kings
933,The Wrong Trousers
934,The Return of Martin Guerre
935,Faust
936,He Walked by Night
937,Raw Deal
938,T-Men
939,The Tin Drum
940,The Ruling Class
941,Mina Tannenbaum
942,2 or 3 Things I Know About Her
943,The Bloody Child
944,Dear God
945,Bad Moon
946,American Dream
947,Bob Roberts
948,Cinema Paradiso
949,"The Cook, the Thief, His Wife & Her Lover"
950,Dead Tired
951,Delicatessen
952,The Double Life of Veronique
953,Enchanted April
954,Paths of Glory
955,The Grifters
956,Hear My Song
957,The Shooter
958,The English Patient
959,Mediterraneo
960,My Left Foot: The Story of Christy Brown
961,"Sex, Lies, and Videotape"
962,Passion Fish
963,Strictly Ballroom
964,The Thin Blue Line
965,Tie Me Up! Tie Me Down!
966,Madonna: Truth or Dare
967,Paris is Burning
968,One Flew Over the Cuckoo's Nest
969,Up in Smoke
970,The Empire Strikes Back
971,The Princess Bride
972,Raiders of the Lost Ark
973,Brazil
974,Aliens
975,"The Good, the Bad and the Ugly"
976,Withnail & I
977,12 Angry Men
978,Lawrence of Arabia
979,A Clockwork Orange
980,To Kill a Mockingbird
981,Apocalypse Now
982,Once Upon a Time in the West
983,Return of the Jedi
984,Wings of Desire
985,The Third Man
986,GoodFellas
987,Alien
988,Army of Darkness
989,The Big Blue
990,Ran
991,The Killer
992,Psycho
993,The Blues Brothers
994,The Godfather: Part II
995,Full Metal Jacket
996,A Grand Day Out
997,Henry V
998,Amadeus
999,The Quiet Man
1000,Once Upon a Time in America
1001,Raging Bull
1002,Annie Hall
1003,The Right Stuff
1004,Stalker
1005,Das Boot
1006,The Sting
1007,Harold and Maude
1008,Trust
1009,The Seventh Seal
1010,Local Hero
1011,The Terminator
1012,Braindead
1013,Glory
1014,Rosencrantz & Guildenstern Are Dead
1015,Manhattan
1016,Miller's Crossing
1017,Dead Poets Society
1018,The Graduate
1019,Touch of Evil
1020,La Femme Nikita
1021,The Bridge on the River Kwai
1022,8½
1023,Chinatown
1024,The Day the Earth Stood Still
1025,The Treasure of the Sierra Madre
1026,Bad Taste
1027,Duck Soup
1028,Better Off Dead...
1029,The Shining
1030,Stand by Me
1031,M
1032,Evil Dead II
1033,The Great Escape
1034,The Deer Hunter
1035,Diva
1036,Groundhog Day
1037,Unforgiven
1038,The Manchurian Candidate
1039,Pump up the Volume
1040,Arsenic and Old Lace
1041,Back to the Future
1042,Fried Green Tomatoes
1043,Patton
1044,Down by Law
1045,Akira
1046,Highlander
1047,Cool Hand Luke
1048,Cyrano de Bergerac
1049,Young Frankenstein
1050,Night on Earth
1051,Raise the Red Lantern
1052,The Great Dictator
1053,Fantasia
1054,High Noon
1055,The Big Sleep
1056,Heathers
1057,Somewhere in Time
1058,Ben-Hur
1059,This Is Spinal Tap
1060,Koyaanisqatsi
1061,Some Kind of Wonderful
1062,Indiana Jones and the Last Crusade
1063,Being There
1064,Gandhi
1065,The Unbearable Lightness of Being
1066,A Room with a View
1067,Real Genius
1068,Pink Floyd: The Wall
1069,The Killing Fields
1070,My Life as a Dog
1071,Forbidden Planet
1072,Field of Dreams
1073,The Man Who Would Be King
1074,Butch Cassidy and the Sundance Kid
1075,"Paris, Texas"
1076,Until the End of the World
1077,When Harry Met Sally...
1078,Hype!
1079,Santa with Muscles
1080,Female Perversions
1081,I'm Not Rappaport
1082,Alien³
1083,An American Werewolf in London
1084,Amityville: It's About Time
1085,Amityville 3-D
1086,Amityville: Dollhouse
1087,Amityville: A New Generation
1088,Amityville II: The Possession
1089,The Amityville Horror
1090,The Amityville Curse
1091,Blood for Dracula
1092,April Fool's Day
1093,Audrey Rose
1094,The Believers
1095,The Birds
1096,The Blob
1097,Blood Beach
1098,Body Parts
1099,The Body Snatcher
1100,Dracula
1101,Bride of Frankenstein
1102,Burnt Offerings
1103,Candyman
1104,Cape Fear
1105,Cape Fear
1106,Carrie
1107,Cat People
1108,A Nightmare on Elm Street
1109,Nosferatu
1110,Vampire in Venice
1111,The Omen
1112,Blood and Wine
1113,Albino Alligator
1114,The Mirror Has Two Faces
1115,Breaking the Waves
1116,Nightwatch
1117,Star Trek: First Contact
1118,Shine
1119,Sling Blade
1120,Jingle All the Way
1121,Paradise Lost: The Child Murders at Robin Hood Hills
1122,The Preacher's Wife
1123,Ridicule
1124,The Crucible
1125,101 Dalmatians
1126,I Can't Sleep
1127,Die Hard 2
1128,Star Trek: The Motion Picture
1129,Star Trek VI: The Undiscovered Country
1130,Star Trek V: The Final Frontier
1131,Star Trek II: The Wrath of Khan
1132,Star Trek III: The Search for Spock
1133,Star Trek IV: The Voyage Home
1134,Batman Returns
1135,Young Guns
1136,Young Guns II
1137,Grease
1138,Grease 2
1139,Marked for Death
1140,The Substance of Fire
1141,Under Siege
1142,Jaws
1143,Jaws 2
1144,Jaws 3-D
1145,My Fellow Americans
1146,Mars Attacks!
1147,Citizen Ruth
1148,Jerry Maguire
1149,Raising Arizona
1150,Tin Men
1151,Sneakers
1152,Bastard Out of Carolina
1153,In Love and War
1154,Marvin's Room
1155,Ghosts of Mississippi
1156,Night Falls on Manhattan
1157,Beavis and Butt-Head Do America
1158,La Cérémonie
1159,Scream
1160,The Last of the Mohicans
1161,Michael
1162,The Evening Star
1163,Hamlet
1164,The Whole Wide World
1165,Mother
1166,Thieves
1167,Evita
1168,The Portrait of a Lady
1169,Walkabout
1170,Message to Love: The Isle of Wight Festival
1171,Murder at 1600
1172,Hearts and Minds
1173,Fierce Creatures
1174,Turbulence
1175,Angel Baby
1176,First Strike
1177,Underworld
1178,Beverly Hills Ninja
1179,Metro
1180,The Machine
1181,The Cement Garden
1182,Dante's Peak
1183,Amos & Andrew
1184,Benny & Joon
1185,Prefontaine
1186,Guantanamera
1187,McHale's Navy
1188,Kolya
1189,Gridlock'd
1190,Waiting for Guffman
1191,Prisoner of the Mountains
1192,The Beautician and the Beast
1193,SubUrbia
1194,Hotel de Love
1195,The Pest
1196,Fools Rush In
1197,Touch
1198,Absolute Power
1199,That Darn Cat
1200,Vegas Vacation
1201,That Old Feeling
1202,Lost Highway
1203,Rosewood
1204,Donnie Brasco
1205,Booty Call
1206,City of Industry
1207,Best Men
1208,Jungle 2 Jungle
1209,Kama Sutra - A Tale of Love
1210,Private Parts
1211,The Saint
1212,Smilla's Sense of Snow
1213,The Van
1214,Crash
1215,The Daytrippers
1216,Liar Liar
1217,Selena
1218,The Devil's Own
1219,Cats Don't Dance
1220,B.A.P.S.
1221,Love and Other Catastrophes
1222,Turbo: A Power Rangers Movie
1223,Double Team
1224,Inventing the Abbotts
1225,Anaconda
1226,Grosse Pointe Blank
1227,Keys to Tulsa
1228,Kissed
1229,8 Heads in a Duffel Bag
1230,Hollow Reed
1231,Paradise Road
1232,Traveller
1233,Romy and Michele's High School Reunion
1234,Volcano
1235,Children of the Revolution
1236,Austin Powers: International Man of Mystery
1237,Breakdown
1238,"Truth or Consequences, N.M."
1239,Warriors of Virtue
1240,Fathers' Day
1241,The Fifth Element
1242,Nowhere
1243,Losing Chase
1244,Sprung
1245,Love! Valour! Compassion!
1246,Shall We Dance?
1247,Twin Town
1248,Addicted to Love
1249,Brassed Off
1250,The Designated Mourner
1251,The Lost World: Jurassic Park
1252,Ponette
1253,Schizopolis
1254,Rough Magic
1255,Trial and Error
1256,Con Air
1257,The Pillow Book
1258,To Have (Or Not)
1259,Speed 2: Cruise Control
1260,Batman & Robin
1261,Dream with the Fishes
1262,Roseanna's Grave
1263,Hercules
1264,My Best Friend's Wedding
1265,Tetsuo II: Body Hammer
1266,When the Cat's Away
1267,Contempt
1268,Face/Off
1269,Gabbeh
1270,Men in Black
1271,Out to Sea
1272,Wild America
1273,A Simple Wish
1274,Contact
1275,G.I. Jane
1276,Conan the Barbarian
1277,George of the Jungle
1278,Cop Land
1279,Event Horizon
1280,Spawn
1281,Air Bud
1282,Picture Perfect
1283,In the Company of Men
1284,Free Willy 3: The Rescue
1285,Career Girls
1286,Conspiracy Theory
1287,Desperate Measures
1288,Steel
1289,She's So Lovely
1290,Hoodlum
1291,Leave it to Beaver
1292,Mimic
1293,Money Talks
1294,Excess Baggage
1295,Kull the Conqueror
1296,Air Force One
1297,One Eight Seven
1298,The Hunt for Red October
1299,My Own Private Idaho
1300,"Kiss Me, Guido"
1301,Star Maps
1302,In & Out
1303,The Edge
1304,The Peacemaker
1305,L.A. Confidential
1306,Seven Years in Tibet
1307,Kiss the Girls
1308,Soul Food
